date,category,name,amount,remark,buildingName,roomNo,sourceSheet
2024-01-01,人工,工资,5000.0,保洁+门卫2人工资,,,1月耗材
2024-01-01,维修采购,陪热水器软管,780.0,64根,,,1月耗材
2024-01-01,维修采购,热水器接头,88.0,热水器接头,,,1月耗材
2024-01-01,人工,工资,2000.0,水电工工资,,,1月耗材
2024-01-02,垃圾费,垃圾费,600.0,12月份垃圾费,,,1月耗材
2024-01-02,维修采购,空调接长插座,40.0,4个,,,1月耗材
2024-01-02,维修采购,洗衣机,3912.0,4台,,,1月耗材
2024-11-01,人工,工资,5000.0,保洁2人工资,,,11月耗材
2024-11-01,人工,工资,2400.0,水电工工资,,,11月耗材
2024-11-01,维修采购,洗衣机,949.0,放置空房间,,,11月耗材
2024-11-01,其他,保洁铲刀,24.0,三把铲刀1盒刀片,,,11月耗材
2024-11-01,其他,卫生间三角置物架,124.74,放置空房间10套,,,11月耗材
2024-11-01,其他,厨房水槽,504.0,放置空房间4套,,,11月耗材
2024-11-01,其他,软管配件,425.0,安装热水器,,,11月耗材
2024-11-01,其他,踢脚线,280.0,安装房间踢脚线,,,11月耗材
2024-11-01,其他,钻头,30.0,工具上用,,,11月耗材
2024-11-01,维修采购,席梦思床垫,3400.0,放置空房间10床,,,11月耗材
2024-11-02,其他,下水道密封圈,71.1,11个密封下水管防臭,,,11月耗材
2024-11-02,其他,洗脸池一体,2854.0,10套安装空房间,,,11月耗材
2024-11-02,其他,下水道密封圈,27.55,10个密封下水管防臭,,,11月耗材
2024-11-02,其他,不锈钢置物架,1600.0,安装空房间,,,11月耗材
2024-11-03,其他,浴室置物架,281.2,20套安装空房间,,,11月耗材
2024-11-05,维修采购,买踢脚线+胶水+钉,1358.0,安装空置房间,,,11月耗材
2024-11-05,其他,大理石台面,5000.0,一共欠20186付了5000,,,11月耗材
2024-11-05,其他,桌子,688.5,5张放置空房间,,,11月耗材
2024-11-05,其他,椅子,218.0,5张放置空房间,,,11月耗材
