date,name,unit_price,purpose,amount,sheet,property
2026-07-01 00:00:00,工资,5000,保洁+门卫2人工资,5000,7月耗材1,嘉定公寓
2026-07-01 00:00:00,工资,2000,水电工工资,2000,7月耗材1,嘉定公寓
2026-07-01 00:00:00,垃圾费,200,垃圾费,200,7月耗材1,嘉定公寓
2026-07-01 00:00:00,网费,2460,网费,2460,7月耗材1,嘉定公寓
2026-07-02 00:00:00,R202换水龙头,100,R202换水龙头,100,7月耗材1,嘉定公寓
2026-07-02 00:00:00,马桶盖10个,427.5,马桶盖10个,427.5,7月耗材1,嘉定公寓
2026-07-08 00:00:00,硅胶4只,40,用于水池损坏打胶,40,7月耗材1,嘉定公寓
2026-07-08 00:00:00,马桶按压器10个,80,损坏调换备用,80,7月耗材1,嘉定公寓
2026-07-22 00:00:00,热风枪,68,吹客户粘的挂钩,68,7月耗材1,嘉定公寓
2026-06-01 00:00:00,工资,5000,保洁+门卫2人工资,5000,6月耗材1,嘉定公寓
2026-06-01 00:00:00,工资,2000,水电工工资,2000,6月耗材1,嘉定公寓
2026-06-01 00:00:00,垃圾费,200,垃圾费,200,6月耗材1,嘉定公寓
2026-06-01 00:00:00,网费,1140,网费,1140,6月耗材1,嘉定公寓
2026-06-01 00:00:00,R305买冰箱,698,冰箱太小了留后面小房间用,698,6月耗材1,嘉定公寓
2026-06-01 00:00:00,圆珠笔,14.45,签合同用,14.45,6月耗材1,嘉定公寓
2026-06-01 00:00:00,马桶盖10个,427.5,马桶盖10个,427.5,6月耗材1,嘉定公寓
2026-06-01 00:00:00,假花打样,19.79,假花打样,19.79,6月耗材1,嘉定公寓
2026-06-01 00:00:00,假花打样,59.9,假花打样,59.9,6月耗材1,嘉定公寓
2026-06-06 00:00:00,热水器水龙头,480,调换S408备用3个,480,6月耗材1,嘉定公寓
2026-06-06 00:00:00,晾衣绳100米,245,修复S栋晾衣绳,245,6月耗材1,嘉定公寓
2026-06-22 00:00:00,防臭地漏贴,37.8,Q102防臭地漏贴,37.8,6月耗材1,嘉定公寓
2026-05-01 00:00:00,工资,5000,保洁+门卫2人工资,5000,5月耗材1,嘉定公寓
2026-05-01 00:00:00,工资,2000,水电工工资,2000,5月耗材1,嘉定公寓
2026-05-01 00:00:00,垃圾费,1200,垃圾费（垃圾太多增加费用）,1200,5月耗材1,嘉定公寓
2026-05-01 00:00:00,网费,2220,网费,2220,5月耗材1,嘉定公寓
2026-05-08 00:00:00,假绿植打样,18.42,假绿植打样,18.42,5月耗材1,嘉定公寓
2026-05-11 00:00:00,假绿植打样,45,假绿植打样,45,5月耗材1,嘉定公寓
2026-05-11 00:00:00,假百合花,16.79,假百合花,16.79,5月耗材1,嘉定公寓
2026-05-11 00:00:00,暴力熊摆件打样,28.8,暴力熊摆件打样,28.8,5月耗材1,嘉定公寓
2026-05-11 00:00:00,四件套打样,135.23,四件套打样,135.23,5月耗材1,嘉定公寓
2026-05-18 00:00:00,淋浴龙头2个,240,淋浴龙头调换S204备用1个,240,5月耗材1,嘉定公寓
2026-05-18 00:00:00,硅胶5只,50,损坏修补,50,5月耗材1,嘉定公寓
2026-05-19 00:00:00,水卫士2套,69.84,水卫士2套打扫房间,69.84,5月耗材1,嘉定公寓
2026-05-20 00:00:00,桌子R304补1个,173.2,桌子R304补1个,173.2,5月耗材1,嘉定公寓
2026-04-01 00:00:00,工资,5000,保洁+门卫2人工资,5000,4月耗材1,嘉定公寓
2026-04-01 00:00:00,工资,2000,水电工工资,2000,4月耗材1,嘉定公寓
2026-04-01 00:00:00,垃圾费,1200,垃圾费（垃圾太多增加费用）,1200,4月耗材1,嘉定公寓
2026-04-01 00:00:00,网费,1140,网费,1140,4月耗材1,嘉定公寓
2026-04-03 00:00:00,消防灭火器,1200,消防灭火器,1200,4月耗材1,嘉定公寓
2026-04-07 00:00:00,S415调换热水器水龙头,120,S415调换热水器水龙头,120,4月耗材1,嘉定公寓
2026-04-10 00:00:00,洗漱台R220添加,136,洗漱台R220添加,136,4月耗材1,嘉定公寓
2026-04-12 00:00:00,马桶盖10个,422,马桶盖10个备用,422,4月耗材1,嘉定公寓
2026-04-12 00:00:00,硅胶5支打胶备用,64.5,硅胶5支打胶备用,64.5,4月耗材1,嘉定公寓
2026-04-13 00:00:00,打样床罩,52,打样床罩,52,4月耗材1,嘉定公寓
2026-04-13 00:00:00,打样流苏,39.9,打样流苏,39.9,4月耗材1,嘉定公寓
2026-04-13 00:00:00,打样枕芯,39,打样枕芯,39,4月耗材1,嘉定公寓
2026-04-13 00:00:00,打样氛围灯,111,打样氛围灯,111,4月耗材1,嘉定公寓
2026-04-13 00:00:00,打样假花,10.7,打样假花,10.7,4月耗材1,嘉定公寓
2026-04-13 00:00:00,打样盘子,7.8,打样盘子,7.8,4月耗材1,嘉定公寓
2026-04-13 00:00:00,打样假草莓,6,打样假草莓,6,4月耗材1,嘉定公寓
2026-04-19 00:00:00,增压花洒2个,58.9,增压花洒2个调换,58.9,4月耗材1,嘉定公寓
2026-04-19 00:00:00,防臭地漏6,72,防臭地漏6调换,72,4月耗材1,嘉定公寓
2026-04-19 00:00:00,马桶按压器10个,80.6,马桶按压器10个调换,80.6,4月耗材1,嘉定公寓
2026-04-19 00:00:00,热水器水龙头,240,R305  S208调换,240,4月耗材1,嘉定公寓
2026-04-19 00:00:00,灯泡停车棚损坏,12,灯泡停车棚损坏,12,4月耗材1,嘉定公寓
2026-04-23 00:00:00,插座5个备用,60,插座Q101调换,60,4月耗材1,嘉定公寓
2026-04-25 00:00:00,增压泵隔音棉,150,增压泵隔音棉,150,4月耗材1,嘉定公寓
2026-04-25 00:00:00,防水胶带,30,防水胶带（隔音增压泵）,30,4月耗材1,嘉定公寓
2026-04-25 00:00:00,发泡胶,39,发泡胶（隔音增压泵）,39,4月耗材1,嘉定公寓
2026-04-28 00:00:00,小台灯打样,37,小台灯打样,37,4月耗材1,嘉定公寓
2026-04-28 00:00:00,假面包打样+荷包蛋,11,假面包打样+荷包蛋,11,4月耗材1,嘉定公寓
2026-03-01 00:00:00,工资,5000,保洁+门卫2人工资,5000,3月耗材1,嘉定公寓
2026-03-01 00:00:00,工资,2000,水电工工资,2000,3月耗材1,嘉定公寓
2026-03-01 00:00:00,垃圾费,1200,垃圾费（垃圾太多增加费用）,1200,3月耗材1,嘉定公寓
2026-03-01 00:00:00,网费,1140,网费,1140,3月耗材1,嘉定公寓
2026-03-05 00:00:00,竹子50棵,144.4,竹子50棵,144.4,3月耗材1,嘉定公寓
2026-03-05 00:00:00,营养土200斤,111,营养土200斤,111,3月耗材1,嘉定公寓
2026-03-06 00:00:00,合同4本,50.5,合同4本,50.5,3月耗材1,嘉定公寓
2026-03-14 00:00:00,门禁电池,40,门禁电池,40,3月耗材1,嘉定公寓
2026-03-14 00:00:00,下水道疏通器,75,下水道疏通器,75,3月耗材1,嘉定公寓
2026-03-30 00:00:00,S410买空调遥控器,20,S410买空调遥控器,20,3月耗材1,嘉定公寓
2026-02-01 00:00:00,工资,5000,保洁+门卫2人工资,5000,2月耗材1,嘉定公寓
2026-02-01 00:00:00,工资,2000,水电工工资,2000,2月耗材1,嘉定公寓
2026-02-01 00:00:00,垃圾费,1000,垃圾费,1000,2月耗材1,嘉定公寓
2026-02-01 00:00:00,网费,1140,网费,1140,2月耗材1,嘉定公寓
2026-02-01 00:00:00,维修门禁电脑,90,维修门禁电脑,90,2月耗材1,嘉定公寓
2026-02-05 00:00:00,送礼警察,2000,送礼警察,2000,2月耗材1,嘉定公寓
2026-02-08 00:00:00,装修费Q栋余款结清,52000,装修费Q栋余款结清,52000,2月耗材1,嘉定公寓
2026-02-17 00:00:00,马桶盖5个,235,马桶盖5个,235,2月耗材1,嘉定公寓
2026-02-25 00:00:00,桌子R313,186,放置R313,186,2月耗材1,嘉定公寓
2026-02-25 00:00:00,护墙板补色漆,39.9,护墙板补色漆（修补护墙板）,39.9,2月耗材1,嘉定公寓
2026-02-26 00:00:00,水卫士清洁剂,29.9,水卫士清洁剂,29.9,2月耗材1,嘉定公寓
2025-01-01 00:00:00,工资,5000,保洁+门卫2人工资,5000,1月耗材1,嘉定公寓
2025-01-01 00:00:00,工资,2000,水电工工资,2000,1月耗材1,嘉定公寓
2025-01-01 00:00:00,垃圾费,1000,垃圾费,1000,1月耗材1,嘉定公寓
2026-01-04 00:00:00,马桶盖5个备用,215,马桶盖5个备用,215,1月耗材1,嘉定公寓
2026-01-05 00:00:00,S414增压花洒,56,S414增压花洒,56,1月耗材1,嘉定公寓
2026-01-06 00:00:00,84消毒液1桶,25,84消毒液1桶,25,1月耗材1,嘉定公寓
2026-01-12 00:00:00,马桶清洁剂,16,马桶清洁剂,16,1月耗材1,嘉定公寓
2026-01-13 00:00:00,防真绿植,66.4,防真绿植,66.4,1月耗材1,嘉定公寓
2026-01-13 00:00:00,网费,1140,网费,1140,1月耗材1,嘉定公寓
2026-01-17 00:00:00,防真花（打样）,12.48,防真花（打样）,12.48,1月耗材1,嘉定公寓
2026-01-17 00:00:00,防真花（打样）,24.7,防真花（打样）,24.7,1月耗材1,嘉定公寓
2026-01-17 00:00:00,床上四件套（打样）,117.6,床上四件套（打样）,117.6,1月耗材1,嘉定公寓
2026-01-17 00:00:00,防真花（打样）,32.9,防真花（打样）,32.9,1月耗材1,嘉定公寓
2026-01-17 00:00:00,房间摆件（打样）,16.95,房间摆件（打样）,16.95,1月耗材1,嘉定公寓
2026-01-17 00:00:00,防真绿植（打样）,54.64,防真绿植（打样）,54.64,1月耗材1,嘉定公寓
2026-01-20 00:00:00,鸿翼付款房租费,62500,鸿翼付款房租费（25年10.11.12结清）,62500,1月耗材1,嘉定公寓
2026-01-28 00:00:00,漏电开关2套,192,S101调换漏电开关,192,1月耗材1,嘉定公寓
2025-12-01 00:00:00,工资,5000,保洁+门卫2人工资,5000,12月耗材1,嘉定公寓
2025-12-01 00:00:00,工资,2000,水电工工资,2000,12月耗材1,嘉定公寓
2025-12-01 00:00:00,垃圾费,1000,垃圾费,1000,12月耗材1,嘉定公寓
2025-12-11 00:00:00,马桶盖2个,110,马桶盖2个,110,12月耗材1,嘉定公寓
2025-12-11 00:00:00,花洒龙头配件,20,花洒龙头配件,20,12月耗材1,嘉定公寓
2025-12-13 00:00:00,马桶盖2个备用,94,马桶盖2个备用,94,12月耗材1,嘉定公寓
2025-12-13 00:00:00,网费,1140,网费,1140,12月耗材1,嘉定公寓
2025-12-26 00:00:00,打样毛毯枕套,29,打样毛毯枕套,29,12月耗材1,嘉定公寓
2025-12-29 00:00:00,三季度鸿翼付款房租费,100000,三季度鸿翼付款房租费,100000,12月耗材1,嘉定公寓
2025-11-01 00:00:00,工资,5000,保洁+门卫2人工资,5000,11月耗材1,嘉定公寓
2025-11-01 00:00:00,工资,2000,水电工工资,2000,11月耗材1,嘉定公寓
2025-11-01 00:00:00,垃圾费,1000,垃圾费,1000,11月耗材1,嘉定公寓
2025-11-02 00:00:00,防水材料,75,防水材料,75,11月耗材1,嘉定公寓
2025-11-06 00:00:00,凳子20张备用,100,凳子20张备用,100,11月耗材1,嘉定公寓
2025-11-06 00:00:00,五眼插座20个（备用）,150,五眼插座20个（备用）,150,11月耗材1,嘉定公寓
2025-11-06 00:00:00,隔音棉S203太吵,24,隔音棉S203太吵隔音,24,11月耗材1,嘉定公寓
2025-11-10 00:00:00,电梯保养费,2100,电梯保养费（25.10.26-26.4.26）6个月,2100,11月耗材1,嘉定公寓
2025-11-12 00:00:00,印象城公寓订金,50000,印象城公寓订金,50000,11月耗材1,嘉定公寓
2025-11-15 00:00:00,洗脸池台盆,102,S105损坏安装,102,11月耗材1,嘉定公寓
2025-11-20 00:00:00,焊洗脸水池架子,30,焊洗脸水池架子,30,11月耗材1,嘉定公寓
2025-11-20 00:00:00,三季度鸿翼付款房租费,15000,三季度鸿翼付款房租费,15000,11月耗材1,嘉定公寓
2025-11-21 00:00:00,网费,1135,网费,1135,11月耗材1,嘉定公寓
2025-11-21 00:00:00,硅胶5只,75,硅胶5只,75,11月耗材1,嘉定公寓
2025-11-23 00:00:00,清洁水卫士,49.8,清洁水卫士,49.8,11月耗材1,嘉定公寓
2025-11-24 00:00:00,R213冰箱卖给我,200,原来没冰箱客户自己冰箱卖给我,200,11月耗材1,嘉定公寓
2025-11-26 00:00:00,灯芯,25,217调换,25,11月耗材1,嘉定公寓
2025-11-26 00:00:00,无线网收纳盒,25,无线网收纳盒217+213安装,25,11月耗材1,嘉定公寓
2025-10-01 00:00:00,工资,5000,保洁+门卫2人工资,5000,10月耗材,嘉定公寓
2025-10-01 00:00:00,工资,2000,水电工工资,2000,10月耗材,嘉定公寓
2025-10-02 00:00:00,三季度鸿翼付款房租费,5000,三季度鸿翼付款房租费,5000,10月耗材,嘉定公寓
2025-10-03 00:00:00,（前垃圾不给拉了）垃圾费,1000,（前垃圾不给拉了）垃圾费,1000,10月耗材,嘉定公寓
2025-10-07 00:00:00,网费,1240,网费,1240,10月耗材,嘉定公寓
2025-10-09 00:00:00,R206没桌子买桌子,151,R206没桌子买桌子,151,10月耗材,嘉定公寓
2025-10-10 00:00:00,三季度鸿翼付款房租费,70000,三季度鸿翼付款房租费,70000,10月耗材,嘉定公寓
2025-10-10 00:00:00,打样四件套,138.9,打样四件套,138.9,10月耗材,嘉定公寓
2025-10-21 00:00:00,S406热水器水龙头调换,90,S406热水器水龙头调换,90,10月耗材,嘉定公寓
2025-10-21 00:00:00,氛围灯打样,125,氛围灯打样,125,10月耗材,嘉定公寓
2025-10-30 00:00:00,三季度鸿翼付款房租费,60000,三季度鸿翼付款房租费,60000,10月耗材,嘉定公寓
2025-10-31 00:00:00,R212洗衣机是客户自己的,691,TCL洗衣机安装R212房间,691,10月耗材,嘉定公寓
2025-09-01 00:00:00,工资,5000,保洁+门卫2人工资,5000,9月耗材,嘉定公寓
2025-09-01 00:00:00,工资,2000,水电工工资,2000,9月耗材,嘉定公寓
2025-09-01 00:00:00,香氛放置退房房间,73,香氛放置退房房间,73,9月耗材,嘉定公寓
2025-09-01 00:00:00,鸿翼第二季度余款,24941,鸿翼第二季度余款,24941,9月耗材,嘉定公寓
2025-09-02 00:00:00,水卫士清洁剂厨房,29.9,水卫士清洁出房,29.9,9月耗材,嘉定公寓
2025-09-02 00:00:00,浴室清洁卫剂,26.9,浴室清洁卫剂,26.9,9月耗材,嘉定公寓
2025-09-07 00:00:00,水电工费付清,6000,水电工费付清,6000,9月耗材,嘉定公寓
2025-09-07 00:00:00,替鸿翼支付消防款付清,38000,替鸿翼支付消防款付清,38000,9月耗材,嘉定公寓
2025-09-08 00:00:00,网费,1090,网费,1090,9月耗材,嘉定公寓
2025-09-17 00:00:00,枕头1套,53,枕头1套,53,9月耗材,嘉定公寓
2025-09-17 00:00:00,三季度鸿翼付款房租费,5700,三季度鸿翼付款房租费,5700,9月耗材,嘉定公寓
2025-09-22 00:00:00,三季度鸿翼付款房租费,30000,三季度鸿翼付款房租费,30000,9月耗材,嘉定公寓
2025-09-25 00:00:00,电梯年检费,200,电梯年检费,200,9月耗材,嘉定公寓
2025-09-25 00:00:00,垃圾费,800,垃圾费,800,9月耗材,嘉定公寓
2025-09-26 00:00:00,送中华香烟居委,450,送中华香烟居委,450,9月耗材,嘉定公寓
2025-09-27 00:00:00,油漆涂料费结清,8000,油漆涂料费结清,8000,9月耗材,嘉定公寓
2025-09-29 00:00:00,三季度鸿翼付款房租费,50000,三季度鸿翼付款房租费,50000,9月耗材,嘉定公寓
2025-08-01 00:00:00,工资,5000,保洁+门卫2人工资,5000,8月耗材,嘉定公寓
2025-08-01 00:00:00,工资,2000,水电工工资,2000,8月耗材,嘉定公寓
2025-08-01 00:00:00,水电工,6000,水电工,6000,8月耗材,嘉定公寓
2025-08-03 00:00:00,水卫士出房剂,29.9,水卫士出房剂,29.9,8月耗材,嘉定公寓
