seq,room,deposit,rent,new_deposit,deposit_refund,plate,parking_fee,commission,period_start,period_end,remark,sheet,property,building
39.0,R211,,,,,,,,,,退房,4月租金1,嘉定公寓,
10.0,Q206,,,,,,,,,,退房,2月租金1,嘉定公寓,
34.0,R206,1880,,,1880.0,,,,,,退房,2月租金1,嘉定公寓,
42.0,R214,1650,,,1650.0,,,,,,退房,2月租金1,嘉定公寓,
93.0,S209,,,,,,,,,,鸿翼员工2024年11月18日开始入住,12月租金1,嘉定公寓,
62.0,R315,,,,,,,,,,退房,11月租金1,嘉定公寓,
64.0,R317,,,,,,,,,,退房,11月租金1,嘉定公寓,
93.0,S209,,,,,,,,,,鸿翼员工2024年11月18日开始入住,11月租金1,嘉定公寓,
93.0,S209,,,,,,,,,,鸿翼员工2024年11月18日开始入住,10月租金,嘉定公寓,
6.0,Q108,2300,1300.0,,,,,,,,退房,9月租金,嘉定公寓,
93.0,S209,,,,,,,,,,鸿翼员工2024年11月18日开始入住,9月租金,嘉定公寓,
105.0,S306,1880,,,1880.0,,,,,,退房,9月租金,嘉定公寓,
37.0,R209,2200,2200.0,,,,,,,,退房,8月租金,嘉定公寓,
93.0,S209,,,,,,,,,,鸿翼员工2024年11月18日开始入住,8月租金,嘉定公寓,
93.0,S209,,,,,,,,,,鸿翼员工2024年11月18日开始入住,7月租金,嘉定公寓,
,Q101,,,,,,,,,,,6月租金,嘉定公寓,
,Q102,,,,,,,,,,,6月租金,嘉定公寓,
,Q103,,,,,,,,,,,6月租金,嘉定公寓,
,Q106,,,,,,,,,,,6月租金,嘉定公寓,
,Q108,,,,,,,,,,,6月租金,嘉定公寓,
,Q201,,,,,,,,,,,6月租金,嘉定公寓,
,Q202,,,,,,,,,,,6月租金,嘉定公寓,
,Q205,,,,,,,,,,,6月租金,嘉定公寓,
,Q206,,,,,,,,,,,6月租金,嘉定公寓,
,S103,,,,2090.0,,,,,,退房,6月租金,嘉定公寓,
,S209,,,,,,,,,,鸿翼员工2024年11月18日开始入住,6月租金,嘉定公寓,
,S211,,,,,,,,,,鸿翼员工2025年2月20日开始入住,6月租金,嘉定公寓,
,R109,1600,,,,,,,,,鸿翼2025年5月1日开始入住,5月租金,嘉定公寓,
,R111,,,,,,,,,,,5月租金,嘉定公寓,
,R115,,,,,,,,,,,5月租金,嘉定公寓,
,R117,,,,,,,,,,,5月租金,嘉定公寓,
,R118,,,,,,,,,,,5月租金,嘉定公寓,
,S209,,,,,,,,,,鸿翼员工2024年11月18日开始入住,5月租金,嘉定公寓,
,S211,,,,,,,,,,鸿翼员工2025年2月20日开始入住,5月租金,嘉定公寓,
,S305,,,,,,,,,,退房,5月租金,嘉定公寓,
,S405,,,,,,,,,,退房,5月租金,嘉定公寓,
,R109,,,,,,,,,,退房,4月租金,嘉定公寓,
,R204,,,,,,,,,,退房,4月租金,嘉定公寓,
,S110,2000,,,800.0,,,,,,退房,4月租金,嘉定公寓,
,S209,,,,,,,,,,鸿翼员工2024年11月18日开始入住,4月租金,嘉定公寓,
,S211,,,,,,,,,,鸿翼员工2025年2月20日开始入住,4月租金,嘉定公寓,
,S411,,,,,,,,,,,4月租金,嘉定公寓,
,R205,,,,,,,,,,,3月租金,嘉定公寓,
,R301,,,,,,,,,,退房太吵装修,3月租金,嘉定公寓,
,R304,,,,,,,,,,,3月租金,嘉定公寓,
,S001,,,,,,,,,,门卫室,3月租金,嘉定公寓,S楼
,S002,,,,,,,,,,,3月租金,嘉定公寓,
,S106,,,,,,,,,,,3月租金,嘉定公寓,
,S209,,,,,,,,,,鸿翼员工2024年11月18日开始入住,3月租金,嘉定公寓,
,S211,,,,,,,,,,鸿翼员工2025年2月20日开始入住,3月租金,嘉定公寓,
,S310,,,,,,,,,,,3月租金,嘉定公寓,
,S312,,,,,,,,,,,3月租金,嘉定公寓,
,S314,,,,,,,,,,,3月租金,嘉定公寓,
,S411,,,,,,,,,,,3月租金,嘉定公寓,
,S412,,,,,,,,,,,3月租金,嘉定公寓,
,R109,,,,,,,,,,,2月租金,嘉定公寓,
,R203,,,,,,,,,,,2月租金,嘉定公寓,
,R205,,,,,,,,,,,2月租金,嘉定公寓,
,R303,,,,,,,,,,,2月租金,嘉定公寓,
,R304,,,,,,,,,,,2月租金,嘉定公寓,
,R306,,,,,,,,,,,2月租金,嘉定公寓,
,R308,,2400.0,,,,,780.0,,,退房,2月租金,嘉定公寓,
,R309,,,,,,,,,,,2月租金,嘉定公寓,
,R317,,,,,,,,,,,2月租金,嘉定公寓,
,S001,,,,,,,,,,,2月租金,嘉定公寓,S楼
,S002,,,,,,,,,,,2月租金,嘉定公寓,
,S101,,,,,,,,,,,2月租金,嘉定公寓,
,S106,,,,,,,,,,,2月租金,嘉定公寓,
,S108,,,,,,,,,,,2月租金,嘉定公寓,
,S109,,,,,,,,,,,2月租金,嘉定公寓,
,S110,,,,,,,,,,,2月租金,嘉定公寓,
,S201,1580,,,1580.0,,,,,,退房,2月租金,嘉定公寓,
,S209,,,,,,,,,,鸿翼员工2025年11月18日开始入住,2月租金,嘉定公寓,
,S211,,,,,,,,,,鸿翼员工2025年2月20日开始入住,2月租金,嘉定公寓,
,S213,,,,,,,,,,,2月租金,嘉定公寓,
,S214,,,,,,,,,,,2月租金,嘉定公寓,
,S215,,,,,,,,,,退房,2月租金,嘉定公寓,
,S310,,,,,,,,,,,2月租金,嘉定公寓,
,S311,,,,,,,,,,,2月租金,嘉定公寓,
,S312,,,,,,,,,,,2月租金,嘉定公寓,
,S313,,,,,,,,,,,2月租金,嘉定公寓,
,S314,,,,,,,,,,,2月租金,嘉定公寓,
,S410,,,,,,,,,,,2月租金,嘉定公寓,
,S411,,,,,,,,,,,2月租金,嘉定公寓,
,S412,,,,,,,,,,,2月租金,嘉定公寓,
,S413,,,,,,,,,,,2月租金,嘉定公寓,
,S414,,,,,,,,,,,2月租金,嘉定公寓,
,S415,,,,,,,,,,,2月租金,嘉定公寓,
,R102,,,,,,,,,,,1月租金 ,嘉定公寓,
,R107,1700,,,1700.0,,,,,,退房,1月租金 ,嘉定公寓,
,R109,,,,,,,,,,,1月租金 ,嘉定公寓,
,R202,,,,,,,,,,,1月租金 ,嘉定公寓,
,R203,,,,,,,,,,,1月租金 ,嘉定公寓,
,R204,,,,,,,,,,,1月租金 ,嘉定公寓,
,R205,,,,,,,,,,,1月租金 ,嘉定公寓,
,R206,,,,,,,,,,,1月租金 ,嘉定公寓,
,R207,,,,,,,,,,,1月租金 ,嘉定公寓,
,R208,,,,,,,,,,,1月租金 ,嘉定公寓,
,R210,,,,,,,,,,,1月租金 ,嘉定公寓,
,R212,,,,,,,,,,,1月租金 ,嘉定公寓,
,R214,,,,,,,,,,,1月租金 ,嘉定公寓,
,R216,,,,,,,,,,,1月租金 ,嘉定公寓,
,R301,,,,,,,,,,,1月租金 ,嘉定公寓,
,R303,,,,,,,,,,,1月租金 ,嘉定公寓,
,R304,,,,,,,,,,,1月租金 ,嘉定公寓,
,R305,,,,,,,,,,,1月租金 ,嘉定公寓,
,R306,,,,,,,,,,,1月租金 ,嘉定公寓,
,R307,,,,,,,,,,,1月租金 ,嘉定公寓,
,R308,,,,,,,,,,,1月租金 ,嘉定公寓,
,R309,,,,,,,,,,,1月租金 ,嘉定公寓,
,R310,,,,,,,,,,,1月租金 ,嘉定公寓,
,R311,,,,,,,,,,,1月租金 ,嘉定公寓,
,R313,,,,,,,,,,,1月租金 ,嘉定公寓,
