seq,room,deposit,rent,new_deposit,deposit_refund,plate,parking_fee,commission,period_start,period_end,remark,sheet,property,building
1.0,Q101,2300,2300.0,,,,,,2026-07-11,2026-08-11,27年4月10日（1年）,7月租金1,嘉定公寓,
2.0,Q102,2300,2300.0,,,,,,2026-07-22,2026-08-22,27年5月21日（1年）,7月租金1,嘉定公寓,
3.0,Q103,2300,2300.0,,,,,,2026-07-22,2026-08-22,27年3月21日（1年）,7月租金1,嘉定公寓,
4.0,Q105,2400,2400.0,,,,,,2026-07-19,2026-08-19,27年1月18日（1年）,7月租金1,嘉定公寓,
5.0,Q106,2260,2260.0,,,,,,2026-07-14,2026-08-14,26年7月13日（1年）,7月租金1,嘉定公寓,
6.0,Q108,2300,2300.0,,,豫Q851DY,150.0,,2026-07-06,2026-08-06,27年4月5日（1年）,7月租金1,嘉定公寓,
7.0,Q201,2060,2060.0,,,,,,2026-07-29,2026-08-29,26年7月28日（1年）,7月租金1,嘉定公寓,
8.0,Q202,2200,1700.0,,,,,,2026-07-26,2026-08-26,续27年7月25日（1年）减500（福利）,7月租金1,嘉定公寓,
9.0,Q205,2100,2100.0,,,苏UH001C,150.0,,2026-07-01,2026-08-01,26年8月30日（1年）,7月租金1,嘉定公寓,
10.0,Q206,2200,2200.0,,,,,,2026-07-05,2026-08-05,27年4月4日（1年）,7月租金1,嘉定公寓,
11.0,R101,1750,1750.0,,,,,,2026-07-19,2026-08-19,26年12月18日（1年）,7月租金1,嘉定公寓,
12.0,R102,1880,1880.0,,,,,,2026-07-06,2026-08-06,27年5月5日（1年）,7月租金1,嘉定公寓,
13.0,R103,1600,,,,,,,2025-01-15,2026-01-15,续27年1月15日（1年）（付清）,7月租金1,嘉定公寓,
14.0,R104,1880,1880.0,,,,,,2026-07-22,2026-08-22,27年6月22日（1年）,7月租金1,嘉定公寓,
15.0,R105,1880,1880.0,,,,,,2026-07-06,2026-08-06,27年2月5日（1年）,7月租金1,嘉定公寓,
16.0,R106,1750,1750.0,,,,,,2026-07-01,2026-08-01,27年1月31日（1年）,7月租金1,嘉定公寓,
17.0,R107,1800,3600.0,,,,,,2026-07-27,2026-08-27,26年12月26日（6个月）,7月租金1,嘉定公寓,
18.0,R108,1700,1700.0,,,,,,2026-07-24,2026-08-24,26年8月23日（1年）,7月租金1,嘉定公寓,
19.0,R109,1500,1500.0,,,,,,2026-07-04,2026-08-04,26年11月3日（1年）,7月租金1,嘉定公寓,
20.0,R110,1880,1880.0,,,,,,2026-07-17,2026-08-17,27年6月16日（1年）,7月租金1,嘉定公寓,
21.0,R111,1800,1800.0,,,,,,2026-07-18,2026-08-18,27年4月17日（1年）,7月租金1,嘉定公寓,
