buildingName,roomNo,floor,roomTypeName
Q栋,Q101,1,
Q栋,Q102,1,
Q栋,Q103,1,
Q栋,Q105,1,
Q栋,Q106,1,
Q栋,Q108,1,
Q栋,Q201,2,
Q栋,Q202,2,
Q栋,Q205,2,
Q栋,Q206,2,
R栋,R101,1,
R栋,R102,1,
R栋,R103,1,
R栋,R104,1,
R栋,R105,1,
R栋,R106,1,
R栋,R107,1,
R栋,R108,1,
R栋,R109,1,
R栋,R110,1,
R栋,R111,1,
R栋,R112,1,
R栋,R113,1,
R栋,R114,1,
R栋,R115,1,
R栋,R116,1,
R栋,R117,1,
R栋,R118,1,
R栋,R119,1,
R栋,R201,2,
R栋,R202,2,
R栋,R203,2,
R栋,R204,2,
R栋,R206,2,
R栋,R207,2,
R栋,R208,2,
R栋,R209,2,
R栋,R210,2,
R栋,R211,2,
R栋,R212,2,
R栋,R213,2,
R栋,R214,2,
R栋,R215,2,
R栋,R216,2,
R栋,R217,2,
R栋,R218,2,
R栋,R219,2,
R栋,R220,2,
R栋,R301,3,
R栋,R302,3,
R栋,R303,3,
R栋,R304,3,
R栋,R305,3,
R栋,R306,3,
R栋,R307,3,
R栋,R308,3,
R栋,R309,3,
R栋,R310,3,
R栋,R311,3,
R栋,R312,3,
R栋,R313,3,
R栋,R314,3,
R栋,R315,3,
R栋,R316,3,
R栋,R317,3,
R栋,R318,3,
R栋,R319,3,
R栋,R401,4,
R栋,R402,4,
R栋,R403,4,
R栋,R404,4,
S栋,S003,0,
S栋,S004,0,
S栋,S005,0,
S栋,S101,1,
S栋,S102,1,
S栋,S103,1,
S栋,S104,1,
S栋,S105,1,
S栋,S106,1,
S栋,S107,1,
S栋,S108,1,
S栋,S109,1,
S栋,S110,1,
S栋,S111,1,
S栋,S201,2,
S栋,S202,2,
S栋,S203,2,
S栋,S204,2,
S栋,S205,2,
S栋,S206,2,
S栋,S207,2,
S栋,S208,2,
S栋,S209,2,
S栋,S210,2,
S栋,S211,2,
S栋,S212,2,
S栋,S213,2,
S栋,S214,2,
S栋,S215,2,
S栋,S301,3,
S栋,S302,3,
S栋,S303,3,
S栋,S304,3,
S栋,S305,3,
S栋,S306,3,
S栋,S307,3,
S栋,S308,3,
S栋,S309,3,
S栋,S310,3,
S栋,S311,3,
S栋,S312,3,
S栋,S313,3,
S栋,S314,3,
S栋,S315,3,
S栋,S401,4,
S栋,S402,4,
S栋,S403,4,
S栋,S404,4,
S栋,S405,4,
S栋,S406,4,
S栋,S407,4,
S栋,S408,4,
S栋,S409,4,
S栋,S410,4,
S栋,S411,4,
S栋,S412,4,
S栋,S413,4,
S栋,S414,4,
S栋,S415,4,
